Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.352096
log(r) Normal with mean -3.07625, variance 0.1
Mean coordination No. 11.06
0.506415 0.0383529 0.260175 0.0592789
0.147768 0.569823 0.412855 0.0335654
0.280264 0.731444 0.480247 0.0425002
0.869644 0.300629 0.615945 0.106836
0.507658 0.434173 0.64845 0.0748049
0.973733 0.0755129 0.940678 0.0291217
0.745472 0.44037 0.976222 0.040553
0.485907 0.494157 0.129618 0.0501039
0.0954379 0.40833 0.337317 0.0617324
0.568926 0.375633 0.838315 0.0392236
0.950607 0.14314 0.697026 0.087416
0.125317 0.124744 0.759863 0.0304238
0.287731 0.365172 0.311327 0.0626343
0.79025 0.493116 0.95165 0.0328689
0.0390587 0.460418 0.952124 0.0584956
0.188301 0.750751 0.469898 0.0399694
0.121105 0.675841 0.905155 0.0643913
0.58921 0.411898 0.750627 0.0578117
0.900207 0.460605 0.238595 0.0266692
0.624873 0.341157 0.210806 0.0706296
0.754334 0.803102 0.344676 0.0274841
0.0410616 0.0549308 0.885456 0.0586665
0.576286 0.687797 0.522234 0.0641575
0.148637 0.942281 0.932935 0.0470041
0.883397 0.945983 0.627975 0.0517217
0.437797 0.0810913 0.855421 0.0537159
0.219726 0.962815 0.484165 0.030666
0.615759 0.767031 0.0248775 0.0672503
0.819326 0.902536 0.810174 0.0702473
0.179572 0.384407 0.275549 0.0448791
0.317412 0.364989 0.850293 0.0718075
0.00746022 0.861291 0.944421 0.0607089
0.517065 0.0896446 0.786138 0.0319523
0.0231132 0.421433 0.699749 0.0488146
0.43673 0.186957 0.733257 0.0928616
0.178895 0.395645 0.833601 0.065166
0.434328 0.039157 0.522366 0.0489961
0.159651 0.291499 0.612145 0.0407486
0.127189 0.543334 0.494367 0.054579
0.213497 0.505943 0.803098 0.0543887
0.806759 0.00998701 0.227892 0.0464504
0.329593 0.507002 0.274766 0.0241049
0.0897074 0.358947 0.778334 0.0438172
0.0728701 0.0107522 0.59879 0.0408096
0.772873 0.243601 0.809889 0.0645947
0.512173 0.262328 0.0362129 0.0718718
0.0643742 0.28673 0.812331 0.0380448
0.562812 0.637257 0.834184 0.0420743
0.0446105 0.397514 0.0150974 0.0287469
0.669569 0.782568 0.362218 0.0336549
0.414458 0.818007 0.227754 0.0898384
0.0492916 0.124244 0.796856 0.0541253
0.959862 0.802521 0.696924 0.0389347
0.456522 0.512866 0.85358 0.0561001
0.607353 0.250052 0.319725 0.0724452
0.63776 0.191846 0.923192 0.0374084
0.19404 0.0887584 0.495594 0.0313877
0.969109 0.339726 0.959445 0.0811934
0.483561 0.875506 0.700112 0.0420956
0.743511 0.320961 0.68151 0.0344893
0.771363 0.547088 0.0206823 0.037745
0.632994 0.121175 0.636212 0.0270862
0.234555 0.890149 0.791737 0.0651697
0.199185 0.0469202 0.960641 0.0679634
0.434152 0.904561 0.762755 0.0427156
0.544246 0.333201 0.701788 0.0438084
0.997581 0.995906 0.156687 0.0511331
0.767599 0.324713 0.967007 0.0399992
0.0771671 0.188441 0.861856 0.0342864
0.435548 0.82971 0.524234 0.0259983
0.427926 0.521471 0.776624 0.0248143
0.427428 0.998988 0.817895 0.0363445
0.875297 0.0477155 0.280355 0.0477476
0.587599 0.177906 0.649875 0.032361
0.953588 0.561435 0.81876 0.0453482
0.269084 0.267146 0.329806 0.0356668
0.455244 0.362914 0.343642 0.0886363
0.576595 0.946338 0.319234 0.0674494
0.641895 0.522673 0.408217 0.0379024
0.690583 0.146804 0.847425 0.0327312
0.0128299 0.504355 0.577398 0.0334475
0.983518 0.205638 0.395153 0.0436407
0.658643 0.0593609 0.103491 0.0484191
0.325717 0.957272 0.0346886 0.068932
0.459375 0.934242 0.37098 0.0550323
0.0345747 0.0846138 0.192264 0.0489873
0.781147 0.393657 0.815491 0.0667654
0.821934 0.501703 0.38724 0.0624292
0.705969 0.174543 0.580703 0.0292787
0.851053 0.396109 0.41546 0.0284913
0.507396 0.0759497 0.398435 0.0419313
0.600258 0.944378 0.700775 0.0552888
0.591474 0.175681 0.0387606 0.0456136
0.281657 0.592209 0.403226 0.0423586
0.457826 0.385874 0.225776 0.030827
0.880123 0.307312 0.784945 0.062621
0.823891 0.796023 0.145593 0.0418806
0.39905 0.965892 0.271851 0.0652482
0.507408 0.675704 0.176608 0.0380663
0.486164 0.0185055 0.350785 0.0356645
0.718827 0.777791 0.164961 0.0427115
0.974158 0.0342153 0.76157 0.0413672
0.260584 0.412388 0.000615454 0.0698772
0.69443 0.313511 0.391691 0.0571256
0.125802 0.297457 0.860118 0.0368674
0.974038 0.22136 0.840119 0.0761301
0.123338 0.0128943 0.900093 0.0348789
0.655536 0.357965 0.586113 0.0468965
0.846659 0.499752 0.28459 0.0431739
0.429744 0.334216 0.565154 0.0334318
0.0161277 0.700041 0.918178 0.0441233
0.683705 0.172933 0.717615 0.0818954
0.475062 0.0133776 0.704867 0.0871524
0.175181 0.793741 0.755091 0.0537122
0.980212 0.790621 0.774544 0.0421862
0.176402 0.764863 0.65527 0.0453825
0.653818 0.347592 0.85876 0.052487
0.345811 0.374543 0.100867 0.0641203
0.640661 0.821747 0.429398 0.0236709
0.209381 0.549574 0.450548 0.0384056
0.346498 0.0956979 0.911869 0.0405668
0.90857 0.855953 0.498118 0.0500603
0.528587 0.666449 0.784213 0.0251606
0.619035 0.717736 0.299106 0.0639993
0.835115 0.674596 0.768052 0.0764821
0.553397 0.883069 0.968671 0.0294292
0.252014 0.626109 0.121676 0.10046
0.783249 0.130756 0.8713 0.064297
0.279785 0.14057 0.0788626 0.0395269
0.00760532 0.00872279 0.494955 0.0352528
0.0805721 0.687897 0.388889 0.0366318
0.0487767 0.483171 0.510334 0.0455368
0.0430541 0.310644 0.128235 0.0345483
0.965496 0.535573 0.91347 0.0535487
0.436974 0.141745 0.974247 0.0785002
0.0316217 0.152498 0.475251 0.057389
0.813008 0.399783 0.369287 0.0314499
0.137672 0.496544 0.313731 0.0385148
0.838201 0.607261 0.244029 0.0720427
0.529814 0.565579 0.0426057 0.035065
0.872119 0.864726 0.67729 0.0439967
0.579214 0.131743 0.251608 0.0260802
0.229845 0.426488 0.615852 0.0361141
0.99974 0.708943 0.798917 0.0452586
0.553032 0.872193 0.756099 0.0471892
0.756969 0.797313 0.670354 0.0586039
0.264682 0.928516 0.187245 0.0978777
0.775279 0.40229 0.69591 0.0532701
0.256865 0.191119 0.777533 0.040406
0.0173746 0.598917 0.181784 0.0451819
0.686449 0.300037 0.961116 0.0393408
0.948261 0.698016 0.720355 0.0485207
0.697382 0.536439 0.342325 0.0493337
0.155539 0.574187 0.28207 0.0335704
0.219353 0.745766 0.8184 0.0371782
0.680362 0.0687238 0.513629 0.0513884
0.841467 0.150875 0.391088 0.0339414
0.778359 0.962958 0.885404 0.034579
0.236506 0.430979 0.758684 0.035731
0.936321 0.586726 0.718422 0.0595584
0.761649 0.866639 0.339345 0.0366552
0.536454 0.585904 0.886576 0.0358797
0.0311452 0.934228 0.531751 0.0511043
0.586848 0.0772828 0.176605 0.0556062
0.497138 0.497563 0.765202 0.0423612
0.565242 0.826237 0.943279 0.0339347
0.692917 0.960506 0.296395 0.0465516
0.177319 0.87592 0.00910061 0.0295607
0.116835 0.665504 0.788318 0.0529793
0.739616 0.428544 0.19102 0.0359739
0.140603 0.892402 0.853391 0.0472286
0.909005 0.768363 0.881411 0.0881452
0.955985 0.172108 0.0755882 0.0370562
0.682934 0.0288491 0.429647 0.0416148
0.929669 0.53879 0.109888 0.0488167
0.719291 0.00732744 0.58907 0.0533798
0.480089 0.53438 0.581952 0.0482992
0.621603 0.80054 0.599331 0.0308845
0.878047 0.0526918 0.179739 0.0466463
0.219555 0.157675 0.481159 0.0394728
0.518862 0.00666034 0.82721 0.0429685
0.0495419 0.398664 0.524157 0.0400961
0.686487 0.404918 0.413546 0.0354873
0.223551 0.667121 0.289994 0.0750556
0.0296665 0.23537 0.505469 0.0308421
0.623574 0.676327 0.959732 0.0446972
0.604514 0.171103 0.267169 0.0224399
0.929218 0.0566333 0.900946 0.0233225
0.665849 0.0738224 0.386513 0.0229994
0.13334 0.128708 0.25287 0.0265742
0.704832 0.78676 0.263309 0.0443955
0.47793 0.841808 0.342516 0.0434491
0.451641 0.930687 0.973393 0.0472215
0.153671 0.208594 0.79939 0.0665152
0.498741 0.0746486 0.144692 0.0381396
0.170315 0.637294 0.476345 0.0503639
0.140936 0.476062 0.564948 0.0438901
0.334852 0.342855 0.413301 0.0518956
0.686042 0.585895 0.661768 0.0443456
0.484824 0.726252 0.653143 0.0599342
