Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.05133, variance 0.1
Mean coordination No. 10.842
0.0942176 0.00734781 0.514196 0.0393778
0.0299061 0.536087 0.822883 0.0399239
0.872633 0.212365 0.919885 0.0394695
0.984542 0.183737 0.202968 0.0579356
0.261655 0.543094 0.00976364 0.03549
0.697044 0.479128 0.981076 0.0452983
0.413375 0.406319 0.797065 0.0339506
0.242381 0.966666 0.762687 0.0678499
0.932445 0.125002 0.574386 0.0561977
0.127994 0.274158 0.35302 0.0451273
0.733334 0.640759 0.152717 0.033312
0.841264 0.281967 0.320535 0.0330622
0.0363146 0.920537 0.838363 0.0429219
0.242038 0.725506 0.745609 0.0334704
0.690811 0.640978 0.776142 0.0559762
0.157384 0.44874 0.761582 0.0337146
0.235128 0.176877 0.125444 0.111842
0.538829 0.973955 0.0372629 0.0421976
0.216857 0.602414 0.617819 0.0426094
0.323239 0.571457 0.157779 0.0405913
0.88907 0.344419 0.509439 0.0586163
0.2961 0.33982 0.125165 0.0614924
0.184144 0.885994 0.0684057 0.0371488
0.958407 0.870134 0.548467 0.0623553
0.97304 0.753002 0.15976 0.0498455
0.0268681 0.70413 0.664482 0.0428598
0.55821 0.386664 0.946984 0.0577746
0.270266 0.552483 0.460071 0.0557115
0.648453 0.34301 0.55714 0.0344227
0.996064 0.323676 0.311586 0.0330951
0.222241 0.478817 0.812867 0.0369623
0.35456 0.662307 0.747269 0.0200246
0.726215 0.0024882 0.766709 0.038588
0.192801 0.62173 0.68366 0.0301015
0.0320326 0.154323 0.500322 0.0433652
0.206923 0.885067 0.35032 0.0474469
0.777863 0.73787 0.203206 0.0669506
0.277452 0.993038 0.87391 0.051716
0.32404 0.645511 0.270112 0.0368983
0.157735 0.317866 0.856539 0.0390835
0.0700249 0.827773 0.975975 0.0902273
0.423389 0.289572 0.68428 0.0472615
0.697938 0.364437 0.300595 0.0594398
0.794534 0.0944353 0.462719 0.0333273
0.0675871 0.119563 0.93273 0.059204
0.495861 0.292142 0.942338 0.0408536
0.627708 0.881897 0.158458 0.0438188
0.946161 0.0245774 0.208387 0.0440451
0.802899 0.0302407 0.742603 0.0464514
0.345008 0.373307 0.778231 0.0401814
0.973445 0.424964 0.0574549 0.0546726
0.196241 0.229265 0.924353 0.0766202
0.136029 0.0342811 0.428146 0.0313499
0.342783 0.380739 0.316138 0.0792984
0.455433 0.198581 0.95343 0.0579121
0.0871132 0.722619 0.438067 0.069158
0.336754 0.895736 0.116482 0.0462382
0.246609 0.0741983 0.750948 0.040404
0.759799 0.57244 0.0435737 0.0832026
0.709808 0.0127475 0.351708 0.022117
0.194742 0.343481 0.174361 0.0512337
0.629778 0.319253 0.497409 0.0324263
0.266463 0.36519 0.62836 0.0295396
0.0574673 0.985266 0.0241996 0.0517792
0.1381 0.567429 0.221549 0.0383214
0.427208 0.433429 0.248398 0.0410863
0.292598 0.271756 0.00122236 0.0460225
